4QxDOjgpYtQDxxbWPuEJOy,L-O-V-E,74,"{'id': '3mGmn1JDde3XyKQqZTJUAL', 'name': 'L-O-V-E', 'type': 'album', 'releaseDate': '1992-01-01'}","[{'id': '7v4imS0moSyGdXyLgVTIV7', 'name': 'Nat King Cole'}]"
2IdCKcMOO5FuAGvYqsZ6p3,'''''',50,"{'id': '5uhEQY2SM46YFVt0KTBqTu', 'name': ""''''''"", 'type': 'album', 'releaseDate': '2021-08-22'}","[{'id': '2QLccJ5Jtn9Cj5xcfB9ufz', 'name': 'x0o0x_'}]"
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),68,"{'id': '6vBGI5522jvPi0ZZuGQNp4', 'name': 'The Christmas Song (Expanded Edition)', 'type': 'album', 'releaseDate': '1962'}","[{'id': '7v4imS0moSyGdXyLgVTIV7', 'name': 'Nat King Cole'}]"
2BY2O9OybmxpND0DqNgx97,'Merican,57,"{'id': '52RKlgHaL9hv8VjlVa3YkB', 'name': 'Cool to Be You', 'type': 'album', 'releaseDate': '2004-03-23'}","[{'id': '1FGH4Bh7g9W6V4fUcKZWp5', 'name': 'Descendents'}]"
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,69,"{'id': '7GBvXtxnvBluo2f4xBVNkm', 'name': 'Unforgettable', 'type': 'album', 'releaseDate': '1954-01-01'}","[{'id': '7v4imS0moSyGdXyLgVTIV7', 'name': 'Nat King Cole'}]"
0atLcHxfA3dHi1ZZsTyJLJ,'',0,"{'id': '7pZ3FRb6ch8TWC0ORVogsC', 'name': '3 Field Rotation', 'type': 'album', 'releaseDate': '2013-07-01'}","[{'id': '1lRmBULbyhdZfGpHc5nYP4', 'name': 'Füxa'}]"
1LbGorB0xOfpiXQJFKB2Nd,El Taxi,67,"{'id': '5PZWGWwRwA0PJCET9BwBAm', 'name': 'Dale', 'type': 'album', 'releaseDate': '2015-07-17'}","[{'id': '0TnOYISbd1XYRBk9myaseg', 'name': 'Pitbull'}, {'id': '7iJrDbKM5fEkGdm5kpjFzS', 'name': 'Sensato'}, {'id': '37G8DfNgO4mQ3PKh5droSo', 'name': 'Osmani Garcia ""La Voz""'}]"
1xKN4oYNWStPV0Q3ixj0Dn,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ''Moonlight'': I. Adagio sostenuto (Excerpt)",0,"{'id': '2SKTWH8RHTQcSDzTqmoHTI', 'name': 'Dark Piano', 'type': 'album', 'releaseDate': '2022-03-12'}","[{'id': '2wOqMjp9TyABvtHdOSOTUS', 'name': 'Ludwig van Beethoven'}, {'id': '0v9z3JGhtZ8BCDbAOCSgBa', 'name': 'Moura Lympany'}]"
1oDCK7PW72XEZ1pE5rh87A,Smile,67,"{'id': '3NoP1ifIejWkGSDsO9T2xH', 'name': 'The Nat King Cole Story', 'type': 'album', 'releaseDate': '1991-01-01'}","[{'id': '7v4imS0moSyGdXyLgVTIV7', 'name': 'Nat King Cole'}]"
2ezqQeBiC72gwMJoO4w1hA,Every Time I Close My Eyes (with Kenny G),66,"{'id': '66Vhr3F0vp90jhQUlcf4Sk', 'name': 'The Day', 'type': 'album', 'releaseDate': '1996-10-29'}","[{'id': '3aVoqlJOYx31lH1gibGDt3', 'name': 'Babyface'}, {'id': '6I3M904Y9IwgDjrQ9pANiB', 'name': 'Kenny G'}]"
1VuAamHM7P3VQQEXYGG3Uu,Joy To The World,64,"{'id': '6vBGI5522jvPi0ZZuGQNp4', 'name': 'The Christmas Song (Expanded Edition)', 'type': 'album', 'releaseDate': '1962'}","[{'id': '7v4imS0moSyGdXyLgVTIV7', 'name': 'Nat King Cole'}]"
